sold_price,zipcode,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,log_HOA,dishwasher,freezer,refrigerator,oven,garbage disposal,double sink,microwave,compactor,electric range,island,appliance color,gas range,prep sink,countertops granite,desk,lazy susan,pantry walk-in,pantry closet,pantry cabinet,mexican tile,wood,natural stone,other,ceramic tile,carpet,concrete,cbrt_acres,distance,lat_direction,lon_direction
2000000.0,85718,16276.0,1935,7,6.0,7569.0,3.0,1.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.55,2.7,0,0
2200000.0,85750,20084.0,2002,4,4.0,5333.0,3.0,2.0,5.19,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1.3,6.77,1,1
2224506.0,85658,1286.59,2012,3,4.0,4724.0,3.0,2.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.92,24.11,1,0
2152700.0,85718,16052.89,2009,5,7.0,6755.0,3.0,4.0,5.56,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1.16,3.08,1,1
1900000.0,85718,26642.7,2008,5,8.0,7831.0,4.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.03,3.16,0,0
2110000.0,85718,20530.88,2012,4,7.0,7150.0,4.0,4.0,5.24,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.39,5.03,1,0
2331000.0,85718,6656.2,2018,4,6.0,5550.0,4.0,1.0,5.14,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.08,4.75,1,0
2200000.0,85755,26641.26,2002,4,7.0,7280.0,3.0,5.0,4.83,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.47,17.18,1,0
2296443.0,85658,1896.71,2018,3,4.0,4850.0,3.0,2.0,6.31,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.97,24.06,1,0
2197500.0,85750,7292.0,2016,6,6.0,6202.0,4.0,3.0,5.4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.04,5.31,1,1
1850000.0,85658,22677.81,2008,4,8.0,7182.0,4.0,6.0,5.77,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.03,19.54,1,0
1800000.0,85750,20206.0,2002,4,7.0,6800.0,3.0,4.0,4.96,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.1,6.6,1,1
1720000.0,85750,14631.69,1954,3,5.0,5042.0,0.0,5.0,0.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2.67,8.08,0,1
1950000.0,85755,21063.0,2002,4,6.0,6622.0,6.0,3.0,5.37,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1.06,18.15,1,0
2150000.0,85739,19060.81,2008,2,3.0,2729.0,0.0,2.0,9.9,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,21.84,1,1
2037500.0,85718,32442.22,2003,3,5.0,9630.0,4.0,2.0,6.05,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.48,3.16,1,0
1920000.0,85718,24316.0,1997,5,6.0,7132.0,3.0,2.0,6.05,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.08,2.61,1,0
1999500.0,85718,15250.76,2002,4,5.0,5795.0,4.0,4.0,5.04,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.03,4.63,1,0
1750000.0,85718,10956.02,1994,4,6.0,4907.0,3.0,4.0,5.56,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.09,3.9,1,1
2117552.0,85658,1340.87,2014,3,4.0,3276.0,2.0,2.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.86,24.29,1,0
2000000.0,85749,17077.5,2004,5,5.0,8265.0,5.0,4.0,4.66,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.55,13.86,0,1
1995000.0,85750,3292.0,2017,6,6.0,6107.0,4.0,3.0,4.03,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.05,5.16,1,1
1950000.0,85658,14425.8,2013,2,3.0,3140.0,3.0,3.0,5.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1.53,20.81,1,0
1775000.0,85658,14748.57,2008,5,6.0,5349.0,3.0,5.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.77,24.33,1,0
1600000.0,85750,14202.0,1994,5,8.0,6677.0,3.0,0.0,5.4,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.01,5.02,1,1
1995000.0,85718,27781.84,2004,4,6.0,6236.0,3.0,5.0,6.05,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.23,2.9,1,0
1800000.0,85712,23156.58,2001,9,8.0,10258.0,4.0,6.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1.28,6.66,0,1
1750000.0,85718,10780.0,2004,5,5.0,5338.0,4.0,4.0,5.08,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.07,0.81,0,0
1897000.0,85750,21910.0,2002,4,7.0,6800.0,3.0,4.0,4.96,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1.1,6.6,1,1
1800000.0,85718,4127.07,2018,5,6.0,5634.0,4.0,3.0,5.27,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1.12,1.81,0,1
1950000.0,85715,10191.82,2013,4,6.0,5097.0,4.0,4.0,4.25,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1.25,8.58,0,1
1800000.0,85718,12074.17,1943,5,4.0,5324.0,2.0,3.0,4.04,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.74,2.95,0,0
1950000.0,85718,3767.38,2019,4,6.0,4714.0,3.0,2.0,5.34,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.16,3.0,0,0
1500000.0,85658,23880.63,2009,3,4.0,5440.0,3.0,3.0,5.84,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1.61,19.42,1,0
1795000.0,85718,12529.0,2005,5,5.0,6299.0,3.0,2.0,3.93,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.95,2.36,1,0
1700000.0,85749,8602.57,1953,4,4.0,2385.0,0.0,2.0,4.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.63,16.78,0,1
1751330.0,85718,21083.04,2009,5,6.0,7756.0,3.0,4.0,5.14,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.05,4.64,1,0
1775000.0,85718,25315.81,2012,4,7.0,7150.0,4.0,4.0,5.13,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.39,5.03,1,0
1900000.0,85750,11690.67,2006,4,5.0,5843.0,3.0,4.0,5.26,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.09,5.54,1,1
1912500.0,85718,16702.0,2008,5,8.0,6602.0,3.0,4.0,5.27,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.3,3.31,0,0
1890000.0,85715,8437.36,1968,4,5.0,4801.0,3.0,2.0,4.38,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.05,7.75,0,1
1750000.0,85718,15484.0,1982,4,6.0,6354.0,3.0,4.0,4.04,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.56,4.27,1,1
1860000.0,85718,5943.38,2018,5,5.0,5764.0,4.0,3.0,5.06,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1.03,4.71,1,0
1825000.0,85718,18578.95,1995,5,7.0,7451.0,3.0,4.0,5.78,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1.01,3.1,1,0
1400000.0,85750,7434.0,1999,3,4.0,3058.0,2.0,1.0,7.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.68,10.63,0,1
1700000.0,85718,17874.58,2005,5,6.0,6719.0,4.0,3.0,5.53,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,3.05,1,0
1750000.0,85718,16026.21,2006,5,6.0,6264.0,4.0,4.0,5.07,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.03,1.12,0,0
1909299.0,85658,1609.59,2015,3,4.0,3276.0,2.0,2.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.77,24.15,1,0
1750000.0,85749,13947.44,2005,4,6.0,6239.0,3.0,5.0,4.85,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.55,14.41,0,1
1658695.0,85718,23203.0,2001,4,7.0,7185.0,3.0,2.0,6.05,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1.3,2.94,1,0
1675000.0,85718,17921.0,2007,4,5.0,5813.0,4.0,5.0,5.14,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.05,4.9,1,0
1800000.0,85658,1974.0,2016,3,4.0,5000.0,3.0,2.0,5.01,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.26,21.47,1,0
1960000.0,85718,17435.04,2001,5,8.0,7043.0,3.0,3.0,4.43,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.61,2.92,1,1
1600000.0,85658,5121.0,2011,3,4.0,3625.0,3.0,5.0,4.78,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.87,23.61,1,0
1680000.0,85750,3646.42,2013,5,5.0,5432.0,4.0,3.0,5.4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.08,4.86,1,1
1750000.0,85658,11139.1,2008,4,5.0,4724.0,3.0,2.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.78,24.33,1,0
1937000.0,85658,1989.9,2019,4,5.0,3620.0,3.0,2.0,6.31,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.83,24.11,1,0
1831392.0,85658,1609.59,2015,3,4.0,3276.0,2.0,2.0,6.31,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.77,24.19,1,0
1650000.0,85658,18658.0,2009,3,4.0,5440.0,3.0,3.0,5.53,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.61,19.41,1,0
2100000.0,85718,15668.99,2009,5,7.0,6755.0,3.0,4.0,5.56,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.16,3.08,1,1
1700000.0,85750,17898.0,2002,4,5.0,6400.0,3.0,3.0,4.82,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.04,6.58,1,1
1625000.0,85718,17309.98,1981,5,6.0,6050.0,3.0,9.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.59,2.32,0,0
1500000.0,85718,14846.62,2003,4,5.0,5276.0,4.0,4.0,5.07,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.11,4.69,1,0
1744900.0,85658,16352.08,2008,3,4.0,4817.0,3.0,4.0,4.96,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.3,20.63,1,0
1650000.0,85658,13874.6,2008,4,5.0,6496.0,4.0,4.0,0.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.49,18.94,1,0
1700000.0,85755,7204.38,2012,4,5.0,4321.0,3.0,3.0,4.96,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.21,19.15,1,0
1650000.0,85750,12094.04,2006,4,5.0,5600.0,3.0,4.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.0,6.82,0,1
